Date,Number
5/10/2019,4
5/7/2019,5
5/3/2019,1
4/30/2019,8
4/26/2019,2
4/23/2019,5
4/16/2019,2
4/12/2019,8
4/9/2019,7
4/5/2019,4
4/2/2019,7
3/29/2019,1
3/26/2019,7
3/22/2019,1
3/19/2019,9
3/15/2019,10
3/12/2019,10
3/8/2019,5
3/5/2019,4
3/1/2019,8
2/26/2019,5
2/22/2019,8
2/19/2019,8
2/15/2019,1
2/12/2019,5
2/8/2019,5
2/5/2019,1
2/1/2019,3
1/29/2019,8
1/25/2019,3
1/22/2019,9
1/18/2019,4
1/15/2019,1
1/11/2019,7
1/8/2019,10
1/4/2019,7
12/28/2018,8
12/21/2018,4
12/18/2018,4
12/14/2018,10
12/11/2018,3
12/7/2018,7
12/4/2018,1
11/30/2018,9
11/27/2018,6
11/23/2018,5
11/20/2018,9
11/16/2018,5
11/13/2018,1
11/9/2018,10
11/6/2018,3
11/2/2018,9
10/30/2018,8
10/26/2018,8
10/23/2018,1
10/19/2018,1
10/16/2018,5
10/12/2018,8
10/9/2018,7
10/5/2018,2
10/2/2018,8
9/28/2018,9
9/25/2018,4
9/21/2018,5
9/18/2018,1
9/14/2018,10
9/11/2018,6
9/7/2018,9
9/4/2018,6
8/31/2018,8
8/28/2018,5
8/24/2018,5
8/21/2018,2
8/17/2018,2
8/14/2018,5
8/10/2018,6
8/7/2018,2
8/3/2018,8
7/31/2018,5
7/27/2018,9
7/24/2018,10
7/20/2018,2
7/17/2018,6
7/13/2018,1
7/10/2018,1
7/6/2018,9
7/3/2018,4
6/29/2018,6
6/26/2018,6
6/22/2018,6
6/19/2018,1
6/15/2018,6
6/12/2018,10
6/8/2018,7
6/5/2018,9
6/1/2018,2
5/29/2018,8
5/25/2018,9
5/22/2018,3
5/18/2018,6
5/15/2018,10
5/11/2018,10
5/8/2018,5
5/4/2018,6
5/1/2018,2
4/27/2018,9
4/24/2018,6
4/20/2018,8
4/17/2018,8
4/13/2018,6
4/10/2018,2
4/6/2018,4
4/3/2018,8
3/27/2018,3
3/23/2018,6
3/20/2018,8
3/16/2018,4
3/13/2018,3
3/9/2018,3
3/6/2018,5
3/2/2018,1
2/27/2018,9
2/23/2018,5
2/20/2018,6
2/16/2018,7
2/13/2018,9
2/9/2018,7
2/6/2018,6
2/2/2018,1
1/30/2018,1
1/26/2018,7
1/23/2018,6
1/19/2018,7
1/16/2018,6
1/12/2018,1
1/9/2018,6
1/5/2018,10
1/2/2018,6
12/29/2017,7
12/26/2017,8
12/22/2017,1
12/19/2017,2
12/16/2017,7
12/12/2017,9
12/8/2017,3
12/5/2017,1
12/1/2017,2
11/28/2017,2
11/24/2017,9
11/21/2017,1
11/17/2017,9
11/14/2017,7
11/10/2017,7
11/7/2017,3
11/3/2017,2
10/31/2017,7
10/27/2017,7
10/24/2017,7
10/20/2017,7
10/17/2017,4
10/13/2017,8
10/10/2017,10
10/6/2017,5
10/3/2017,6
9/29/2017,9
9/26/2017,3
9/22/2017,4
9/19/2017,9
9/15/2017,6
9/12/2017,4
9/8/2017,8
9/5/2017,10
9/1/2017,6
8/30/2017,9
8/25/2017,9
8/22/2017,10
8/18/2017,6
8/15/2017,4
8/11/2017,2
8/8/2017,3
8/4/2017,9
8/1/2017,3
7/28/2017,2
7/25/2017,8
7/21/2017,1
7/18/2017,9
7/14/2017,5
7/11/2017,9
7/7/2017,6
7/4/2017,6
6/30/2017,10
6/27/2017,10
6/23/2017,2
6/20/2017,3
6/16/2017,4
6/13/2017,8
6/9/2017,6
6/6/2017,6
6/2/2017,5
5/30/2017,6
5/26/2017,4
5/23/2017,8
5/19/2017,10
5/16/2017,10
5/12/2017,10
5/9/2017,1
5/5/2017,8
5/2/2017,7
4/28/2017,6
4/25/2017,6
4/21/2017,5
4/18/2017,6
4/11/2017,1
4/7/2017,1
4/4/2017,10
3/31/2017,6
3/28/2017,9
3/24/2017,8
3/21/2017,5
3/17/2017,8
3/14/2017,10
3/10/2017,3
3/7/2017,6
3/3/2017,3
2/28/2017,10
2/24/2017,10
2/21/2017,6
2/17/2017,7
2/14/2017,5
2/10/2017,10
2/7/2017,2
2/3/2017,10
1/31/2017,2
1/27/2017,10
1/24/2017,3
1/20/2017,7
1/17/2017,3
1/13/2017,5
1/10/2017,8
1/6/2017,3
1/3/2017,10
12/30/2016,1
12/27/2016,2
12/23/2016,3
12/20/2016,7
12/16/2016,6
12/13/2016,10
12/9/2016,5
12/6/2016,4
12/2/2016,4
11/29/2016,8
11/25/2016,9
11/22/2016,5
11/18/2016,8
11/15/2016,4
11/11/2016,9
11/8/2016,2
11/4/2016,4
11/1/2016,1
10/28/2016,3
10/26/2016,2
10/22/2016,10
10/18/2016,7
10/14/2016,5
10/11/2016,1
10/7/2016,6
10/4/2016,8
9/30/2016,3
9/27/2016,5
9/23/2016,6
9/20/2016,3
9/16/2016,5
9/13/2016,10
9/9/2016,3
9/6/2016,2
9/2/2016,7
8/30/2016,3
8/27/2016,6
8/23/2016,10
8/19/2016,4
8/16/2016,4
8/12/2016,1
8/9/2016,5
8/5/2016,10
8/2/2016,2
7/29/2016,9
7/26/2016,10
7/22/2016,6
7/19/2016,5
7/15/2016,4
7/12/2016,6
7/8/2016,10
7/5/2016,10
7/1/2016,4
6/28/2016,6
6/24/2016,3
6/21/2016,5
6/17/2016,1
6/14/2016,8
6/10/2016,10
6/7/2016,6
6/3/2016,7
5/31/2016,1
5/27/2016,10
5/24/2016,4
5/20/2016,4
5/17/2016,6
5/13/2016,1
5/10/2016,1
5/6/2016,8
5/3/2016,6
4/29/2016,3
4/26/2016,9
4/22/2016,5
4/19/2016,2
4/15/2016,8
4/12/2016,4
4/8/2016,7
4/5/2016,6
4/1/2016,1
3/29/2016,8
3/22/2016,7
3/18/2016,9
3/16/2016,3
3/11/2016,6
3/8/2016,1
3/4/2016,2
3/1/2016,1
2/26/2016,2
2/23/2016,3
2/19/2016,10
2/16/2016,7
2/12/2016,7
2/9/2016,6
2/5/2016,7
2/2/2016,3
1/29/2016,8
1/26/2016,10
1/22/2016,4
1/19/2016,8
1/15/2016,10
1/12/2016,3
1/8/2016,2
1/5/2016,4
12/29/2015,6
12/22/2015,4
12/18/2015,5
12/15/2015,6
12/11/2015,2
12/8/2015,6
12/4/2015,1
12/1/2015,2
11/27/2015,8
11/24/2015,6
11/20/2015,1
11/17/2015,1
11/13/2015,10
11/10/2015,3
11/6/2015,1
11/3/2015,6
10/30/2015,4
10/27/2015,9
10/23/2015,9
10/20/2015,3
10/16/2015,5
10/13/2015,2
10/9/2015,9
10/6/2015,3
10/2/2015,4
9/29/2015,9
9/25/2015,1
9/22/2015,4
9/18/2015,7
9/15/2015,6
9/11/2015,7
9/8/2015,7
9/4/2015,6
9/1/2015,5
8/28/2015,1
8/25/2015,10
8/21/2015,8
8/18/2015,5
8/14/2015,9
8/11/2015,5
8/7/2015,4
8/4/2015,7
7/31/2015,3
7/28/2015,4
7/24/2015,10
7/21/2015,6
7/17/2015,8
7/14/2015,9
7/10/2015,1
7/7/2015,1
7/3/2015,7
6/30/2015,3
6/26/2015,3
6/23/2015,1
6/19/2015,4
6/16/2015,2
6/12/2015,1
6/9/2015,2
6/5/2015,10
6/2/2015,3
5/29/2015,9
5/26/2015,7
5/22/2015,3
5/19/2015,9
5/15/2015,3
5/12/2015,4
5/8/2015,8
5/5/2015,8
5/1/2015,3
4/28/2015,5
4/24/2015,2
4/21/2015,10
4/17/2015,10
4/14/2015,10
4/10/2015,5
4/7/2015,9
3/31/2015,9
3/27/2015,2
3/24/2015,5
3/20/2015,1
3/17/2015,9
3/13/2015,6
3/10/2015,2
3/6/2015,2
3/3/2015,2
2/27/2015,4
2/24/2015,1
2/20/2015,7
2/17/2015,4
2/13/2015,3
2/10/2015,9
2/6/2015,6
2/3/2015,7
1/30/2015,9
1/27/2015,6
1/23/2015,1
1/20/2015,10
1/16/2015,3
1/13/2015,1
1/10/2015,9
1/6/2015,4
1/2/2015,8
12/31/2014,4
12/26/2014,1
12/23/2014,3
12/19/2014,7
12/16/2014,5
12/12/2014,6
12/9/2014,9
12/5/2014,1
12/2/2014,9
11/28/2014,5
11/25/2014,4
11/21/2014,5
11/18/2014,9
11/14/2014,6
11/11/2014,2
11/7/2014,6
11/4/2014,5
10/31/2014,6
10/28/2014,9
10/24/2014,2
10/21/2014,8
10/17/2014,5
10/14/2014,6
10/10/2014,5
10/7/2014,8
10/3/2014,3
9/30/2014,9
9/26/2014,5
9/23/2014,10
9/19/2014,6
9/16/2014,1
,
9/9/2014,6
9/5/2014,5
9/3/2014,7
8/29/2014,1
8/26/2014,5
8/22/2014,10
8/19/2014,9
8/15/2014,3
8/12/2014,10
8/8/2014,7
8/5/2014,7
8/1/2014,5
7/29/2014,10
7/25/2014,7
7/22/2014,2
7/18/2014,8
7/15/2014,2
7/11/2014,10
7/9/2014,7
7/4/2014,6
7/1/2014,6
6/27/2014,1
6/24/2014,5
6/20/2014,2
6/17/2014,2
6/13/2014,5
6/10/2014,10
6/6/2014,7
6/3/2014,1
5/30/2014,2
5/27/2014,8
5/23/2014,2
5/20/2014,4
5/16/2014,4
5/13/2014,3
5/9/2014,6
5/6/2014,10
5/2/2014,7
4/29/2014,6
4/25/2014,7
4/22/2014,9
4/15/2014,7
4/11/2014,7
4/8/2014,6
4/4/2014,5
4/1/2014,1
3/28/2014,4
3/25/2014,4
3/21/2014,5
3/18/2014,5
3/14/2014,5
3/11/2014,2
3/7/2014,4
3/4/2014,1
3/1/2014,7
2/25/2014,8
2/21/2014,5
2/18/2014,2
2/14/2014,1
2/11/2014,8
2/7/2014,10
2/4/2014,3
1/31/2014,2
1/28/2014,10
1/24/2014,7
1/21/2014,7
1/17/2014,1
1/14/2014,10
1/10/2014,7
1/7/2014,6
1/3/2014,4
12/31/2013,2
12/27/2013,4
12/24/2013,9
12/20/2013,9
12/17/2013,8
12/13/2013,10
12/10/2013,7
12/6/2013,10
12/3/2013,2
11/29/2013,7
11/27/2013,4
11/22/2013,7
11/19/2013,4
11/15/2013,6
11/12/2013,6
11/8/2013,1
11/5/2013,10
11/1/2013,10
10/29/2013,4
10/25/2013,5
10/22/2013,10
10/18/2013,5
10/15/2013,7
10/11/2013,9
10/8/2013,5
10/4/2013,1
10/2/2013,1
9/27/2013,4
9/24/2013,7
9/20/2013,5
9/17/2013,2
9/13/2013,9
9/10/2013,10
9/6/2013,7
9/3/2013,9
8/30/2013,5
8/27/2013,8
8/23/2013,7
8/20/2013,6
8/16/2013,1
8/13/2013,6
8/9/2013,10
8/6/2013,6
8/2/2013,1
7/30/2013,2
7/26/2013,9
7/23/2013,3
7/19/2013,2
7/16/2013,7
7/12/2013,5
7/9/2013,6
7/5/2013,8
7/2/2013,1
6/28/2013,7
6/25/2013,8
6/21/2013,5
6/18/2013,9
6/14/2013,9
6/11/2013,2
6/7/2013,5
6/4/2013,4
5/31/2013,5
5/28/2013,5
5/24/2013,2
5/21/2013,1
5/17/2013,2
5/14/2013,4
5/10/2013,10
5/7/2013,5
5/3/2013,9
4/30/2013,7
4/26/2013,5
4/23/2013,9
4/19/2013,3
4/16/2013,4
4/12/2013,10
4/9/2013,6
4/5/2013,3
4/2/2013,2
3/26/2013,1
3/22/2013,3
3/19/2013,7
3/15/2013,7
3/12/2013,1
3/9/2013,2
3/5/2013,2
3/1/2013,5
2/26/2013,10
2/22/2013,8
2/19/2013,1
2/15/2013,5
2/12/2013,2
2/8/2013,2
2/5/2013,9
2/1/2013,7
1/29/2013,5
1/25/2013,1
1/22/2013,4
1/18/2013,5
1/15/2013,10
1/11/2013,3
1/8/2013,6
1/4/2013,8
12/28/2012,10
12/21/2012,3
12/18/2012,4
12/14/2012,8
12/11/2012,2
12/7/2012,7
12/4/2012,8
11/30/2012,3
11/27/2012,5
11/23/2012,9
11/21/2012,6
11/16/2012,2
11/13/2012,5
11/9/2012,1
11/6/2012,7
11/2/2012,1
10/30/2012,10
10/26/2012,10
10/23/2012,4
10/19/2012,3
10/16/2012,10
10/12/2012,3
10/9/2012,4
10/5/2012,10
10/2/2012,3
9/28/2012,8
9/25/2012,1
9/21/2012,2
9/18/2012,7
9/14/2012,7
9/11/2012,1
9/7/2012,2
9/4/2012,8
8/31/2012,6
8/28/2012,8
8/24/2012,1
8/21/2012,5
8/17/2012,3
8/14/2012,1
8/10/2012,8
8/7/2012,7
8/3/2012,5
7/31/2012,8
7/27/2012,4
7/24/2012,8
7/20/2012,1
7/18/2012,7
7/13/2012,3
7/11/2012,1
7/6/2012,5
7/3/2012,3
6/29/2012,7
6/26/2012,7
6/22/2012,1
6/19/2012,2
6/15/2012,9
6/12/2012,2
6/8/2012,4
6/5/2012,7
6/1/2012,9
5/29/2012,9
5/25/2012,9
5/22/2012,3
5/18/2012,7
5/15/2012,7
5/11/2012,7
5/8/2012,9
5/4/2012,10
5/1/2012,4
4/27/2012,1
4/24/2012,7
4/20/2012,6
4/17/2012,3
4/13/2012,6
4/10/2012,8
4/3/2012,1
3/30/2012,5
3/27/2012,5
3/23/2012,9
3/20/2012,2
3/16/2012,9
3/13/2012,10
3/9/2012,1
3/6/2012,4
3/2/2012,9
2/28/2012,8
2/24/2012,7
2/21/2012,4
2/17/2012,3
2/14/2012,10
2/10/2012,8
2/7/2012,1
2/3/2012,7
1/31/2012,5
1/27/2012,9
1/24/2012,4
1/20/2012,2
1/17/2012,4
1/13/2012,1
1/10/2012,7
1/6/2012,2
1/3/2012,8
12/30/2011,3
12/23/2011,2
12/20/2011,8
12/16/2011,5
12/13/2011,6
12/9/2011,9
12/6/2011,4
12/2/2011,4
11/29/2011,4
11/25/2011,5
11/22/2011,6
11/18/2011,9
11/15/2011,6
11/11/2011,6
11/8/2011,3
11/4/2011,8
11/1/2011,8
10/28/2011,9
10/25/2011,10
10/21/2011,7
10/18/2011,4
10/14/2011,6
10/11/2011,9
10/7/2011,8
10/4/2011,5
9/30/2011,5
9/27/2011,8
9/23/2011,9
9/20/2011,3
9/16/2011,5
9/13/2011,8
9/9/2011,6
9/6/2011,8
9/2/2011,8
8/30/2011,4
8/26/2011,1
8/23/2011,1
8/19/2011,2
8/16/2011,8
8/12/2011,9
8/9/2011,7
8/5/2011,1
8/2/2011,1
7/29/2011,10
7/26/2011,10
7/22/2011,6
7/19/2011,2
7/15/2011,4
7/12/2011,9
7/8/2011,2
7/5/2011,10
7/1/2011,6
6/28/2011,4
6/24/2011,5
6/21/2011,7
6/17/2011,7
6/14/2011,6
6/10/2011,2
6/7/2011,9
6/3/2011,2
5/31/2011,5
5/27/2011,5
5/24/2011,10
5/20/2011,8
5/17/2011,10
5/13/2011,4
5/10/2011,3
5/6/2011,9
5/3/2011,5
4/29/2011,6
4/26/2011,9
4/19/2011,1
4/15/2011,7
4/12/2011,4
4/8/2011,4
4/5/2011,4
4/1/2011,1
3/29/2011,7
3/25/2011,3
3/22/2011,6
3/18/2011,8
3/15/2011,8
3/11/2011,2
3/8/2011,5
3/4/2011,1
3/2/2011,1
2/25/2011,1
2/22/2011,4
2/18/2011,8
2/15/2011,1
2/11/2011,4
2/8/2011,1
2/4/2011,10
2/1/2011,6
1/28/2011,1
1/25/2011,4
1/21/2011,5
1/18/2011,3
1/14/2011,1
1/11/2011,7
1/7/2011,5
1/4/2011,2
12/31/2010,1
12/28/2010,3
12/24/2010,9
12/21/2010,4
12/17/2010,7
12/14/2010,4
12/10/2010,
12/7/2010,
12/3/2010,
11/30/2010,
11/26/2010,6
11/23/2010,
11/19/2010,
11/16/2010,
11/12/2010,
11/10/2010,
11/5/2010,7
11/2/2010,
10/29/2010,7
10/26/2010,9
10/22/2010,
10/19/2010,
10/15/2010,
10/12/2010,2
10/8/2010,
10/5/2010,
10/1/2010,
9/28/2010,2
9/24/2010,
9/21/2010,
9/17/2010,6
9/14/2010,
9/10/2010,3
9/7/2010,5
9/3/2010,
8/31/2010,1
8/27/2010,
8/24/2010,
8/20/2010,
8/17/2010,1
8/13/2010,
8/10/2010,7
8/6/2010,
8/4/2010,
7/30/2010,
7/27/2010,
7/23/2010,
7/20/2010,6
7/16/2010,
7/13/2010,9
7/9/2010,
7/6/2010,
7/2/2010,
6/29/2010,9
6/25/2010,
6/22/2010,
6/18/2010,
6/15/2010,
6/11/2010,
6/8/2010,4
6/4/2010,4
6/1/2010,1
5/28/2010,1
5/26/2010,3
5/21/2010,
5/18/2010,
5/14/2010,
5/11/2010,
5/7/2010,
5/4/2010,
4/30/2010,
4/27/2010,
4/23/2010,
4/20/2010,6
4/16/2010,
4/13/2010,
4/9/2010,
4/6/2010,2
3/30/2010,
3/26/2010,
3/23/2010,
3/19/2010,
3/16/2010,
3/12/2010,
3/9/2010,2
3/5/2010,4
3/2/2010,
2/26/2010,1
2/23/2010,1
2/19/2010,
2/16/2010,
2/12/2010,
2/9/2010,
2/5/2010,
2/2/2010,
1/29/2010,2
1/26/2010,
1/22/2010,
1/19/2010,3
1/15/2010,
1/12/2010,
1/8/2010,6
1/5/2010,4
12/29/2009,
12/22/2009,
12/18/2009,
12/15/2009,
12/11/2009,8
12/8/2009,
12/4/2009,
12/1/2009,
11/27/2009,
11/24/2009,
11/20/2009,
11/17/2009,8
11/13/2009,
11/10/2009,2
11/6/2009,
11/3/2009,
10/30/2009,
10/27/2009,
10/23/2009,
10/20/2009,
10/16/2009,
10/13/2009,
10/9/2009,
10/6/2009,
10/2/2009,
9/29/2009,
9/25/2009,
9/22/2009,
9/18/2009,
9/15/2009,
9/11/2009,3
9/8/2009,
9/4/2009,
9/1/2009,
8/28/2009,9
